----- Regionalstelle Schleswig: -----		
		
>>>>> Zugtrupp		
Heros Elmshorn 21/10	MTW-ZTr	
		
>>> Bergungsgruppe		
Heros Elmshorn 22/51	GKW	
	AB EGS	
		
>>> Fachgruppe N		
Heros Elmshorn 24/52	GKW II	
		
>>> Fachgruppe Wasserschaden / Pumpen		
Heros Elmshorn 47/43	LKW Lbw	
Heros Elmshorn 47/34	MLW IV	
	Anhänger Schmutzwasserpumpe 5.000	
	Anhänger W/P 7t	
		
>>> öGA TH auf Verkehrswegen		
	Anhänger Heros Elmshorn VSA 1	
	Anhänger Heros Elmshorn VSA 2	
		
>>> öGA		
Heros Elmshorn 79/65	WLF	
	Teleskoplader	
	Anhänger Scmutzwasserpumpe 6.000	
		
>>> OV-Stab		
Heros Elmshorn 86/25-01	MTW OV	
Heros Elmshorn 86/25-02	MTW OV	
Heros Elmshorn 86/26	MTW OV	Jugend
	Gabelstapler	
		
>>> weitere Ausrüstung		
	AB Mulde	
	AB Rungen	
	AB Rüstholz	
	AB Aufenthalt	
	AB SEA 110kVA	
	AB Sandsackfüllsystem des Katastrophenschutzes	
	Anhänger PKW	
		
		
THW OV Heide	Vogelweide 9	25746 Heide
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Heide 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Heide 22/51		
	Anhänger EGS	
		
>>> Fachgruppe N		
Heros Heide 24/55	MzGW	
	NEA 50kVA mit Lichtmast	
		
>>> Fachgruppe Wassergefahren		
Heros Heide 37/46	LKW Lkr gl	
Heros Heide 37/81	MzB	
	Anhänger MzB	
	Anhänger Schlauchboot	
		
>>> OV-Stab		
Heros Heide 86/25	MTW	
Heros Heide 86/31	MLW I	
	PKW-Anhänger	
		
		
THW OV Itzehoe	Oelixdorfer Straße 2	25524 Itzehoe
		Aus Platzmangel ist ein dringender Neubau auf dem Gelände des Katastrophenschutzzentrums in Nordoe geplant
		Es sollen 16 Garagenplätze und 7 überdachte Stellplätze entstehen (Stand 2021, nichts neues in 2023)
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Itzehoe 21/10	MTW-Ztr	
		
>>> Bergungsgruppe		
Heros Itzehoe 22/51	GKW	
	Anhänger Wechselbrücke EGS	
		
>>> Fachgruppe N		
Heros Itzehoe 24/55	MzGW	
		
>>> Fachgruppe Trinkwasserversorgung		
Heros Itzehoe 33/43	LKW Lbw	
Heros Itzehoe 33/49	LKW Lbw	
	Gabelstapler	
	Anhänger Trinkwasseraufbereitungsanlage	
	Anhänger Gabelstapler	
		
>>> Fachgruppe Räumen (B)		
Heros Itzehoe 41/61	LKW K	
Heros Itzehoe 41/72	Radlader	
	Anhänger DLE	
		
>>> OV-Stab		
Heros Itzehoe 86/21	PKW	
Heros Itzehoe 86/25	MTW	
Heros Itzehoe 86/xx	PKW SEEWA	
		
		
THW OV Kaltenkirchen	Porschering 7	24568 Kaltenkirchen
		Bis 2026 entsteht ein Neubau an der Süderstraße westlich der Feuerwehr
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Kaltenkirchen 21/10	MTW-TZ	
		
>>> Bergungsgruppe		
Heros Kaltenkirchen 22/51	GKW	
	Anhänger 7t	
		
>>> Fachgruppe N		
Heros Kaltenkirchen 24/55	MzGW	
		
>>> Fachgruppe Räumen (C)		
Heros Kaltenkirchen 43/62	LKW K9	
	Anhänger Tieflader	
Heros Kaltenkirchen 43/73	Teleskoplader	Neufahrzeug 2018
	Anhänger Drucklufterzeugung	
		
>>> Fachgruppe Sprengen		seit 2016
Heros Kaltenkirchen 35/31	MLW I	2016 aus dem OV Heide übernommen
		
>>> OV-Stab		
Heros Kaltenkirchen 86/21	PKW	
>>> öGA TH auf Verkehrswegen		
	4 Anhänger Verkehrsleitung	von ViaSolution Nord bei der Autobahnmeisterei Kaltenkirchen
		
		
THW OV Meldorf	Marschstraße 2	25704 Meldorf
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Meldorf 21/10	MTW-TZ	
>>> Bergungsgruppe		
Heros Meldorf 22/51	GKW	
	Anhänger Einsatzgerüstsystem	
		
>>> Fachgruppe N		
Heros Meldorf 24/55	MzGW	
